"No.","Time","Source","Destination","Protocol","Length","Info","wlan.qos.priority","wlan.fc.type_subtype"
"146476","624.785504690","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","75","Action, SN=1738, FN=0, Flags=........C, Dialog Token=103","","Action"
"146490","624.798610753","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","158","QoS Data, SN=3597, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146492","624.798646391","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","158","QoS Data, SN=3598, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146493","624.798659163","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","158","QoS Data, SN=3599, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146494","624.798671758","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","158","QoS Data, SN=3600, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146498","624.801866822","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=3601, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146508","624.808901842","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","158","QoS Data, SN=3602, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146518","624.815467254","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=3603, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146520","624.815493389","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=3604, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146529","624.824890553","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","160","QoS Data, SN=3605, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146544","624.835010397","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=3606, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
