sample_no,No.,Time,Source,Destination,Protocol,Length,Info,avrg_len,var_len,IAT,avrg_IAT,var_IAT,count,upload_count
61,75425,134.426667762,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=3509, FN=0, Flags=.p.....TC",167.03296703296704,13480.440896120452,0.49047158899998067,0.01266549892857128,0.002222337082344215,182,182
62,76461,136.681157851,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=3596, FN=0, Flags=.p.....TC",218.984126984127,46516.72555043522,0.4398408730000085,0.03179598887301596,0.01027030063729289,63,63
63,76942,138.252887832,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=3621, FN=0, Flags=.p.....TC",247.7888888888889,82645.58646803227,0.008423555000007354,0.010761334861111195,0.0011474481939739154,180,180
64,77941,140.255678841,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=3705, FN=0, Flags=.p.....TC",146.70731707317074,3.5121951219512226,0.07417428899998413,0.02451249641463375,0.014276058943431258,41,41
65,78370,142.417097757,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=3729, FN=0, Flags=.p.....TC",476.26153846153846,235523.93106738242,1.2305808520000028,0.023535309823077017,0.022459575835942557,130,130
66,79425,144.252763108,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,154,"QoS Data, SN=3823, FN=0, Flags=.p.....TC",551.5507246376811,565323.2810540185,0.006655926000007639,0.007237472192028926,0.0009119076815786314,276,252
67,80465,146.246998655,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,157,"QoS Data, SN=3929, FN=0, Flags=.p..R..TC",380.8296703296703,438459.67800983554,0.003349148000012292,0.011005034835164906,0.0012018595716706002,182,169
68,81315,148.249741917,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,155,"QoS Data, SN=4027, FN=0, Flags=.p..R..TC",623.6994219653179,901480.3161043148,0.0031760699999949793,0.009096487208092486,0.0010046535657788594,173,143
70,83003,152.436200048,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,949,"QoS Data, SN=26, FN=0, Flags=.p.....TC",720.8215767634855,906921.4638658368,2.6159419139999898,0.017686215950207477,0.029007844870582767,241,199
71,84507,154.953996383,aa:3a:0e:b6:ed:12,IPv4mcast_fb,802.11,216,"QoS Data, SN=4095, FN=0, Flags=.p.....TC",216.0,,0.871360205000002,0.871360205000002,,1,1
76,86016,164.522761661,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,150,"QoS Data, SN=1, FN=0, Flags=.p.....TC",734.5909090909091,238855.30086580082,9.568765278,0.5013479384545447,4.188875192477936,22,22
77,86377,166.492524427,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,953,"QoS Data, SN=9, FN=0, Flags=.p.....TC",854.8666666666667,291576.8380952381,0.50887339800002,0.1367898637333345,0.0882188382143624,15,15
78,86710,168.297385335,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=13, FN=0, Flags=.p.....TC",482.1774193548387,263004.0278116827,0.2618863499999975,0.011409103849462313,0.0010564360746103515,186,186
79,88016,170.306677221,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,152,"QoS Data, SN=95, FN=0, Flags=.p.....TC",170.50920245398774,4750.152692569872,0.14908492000000706,0.012131126895705608,0.0009705344296181553,163,163
80,89132,172.427090503,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,152,"QoS Data, SN=199, FN=0, Flags=.p.....TC",160.11428571428573,10.371428571428474,0.29212451799998007,0.01901960043809503,0.004329045642908646,105,105
81,89835,174.271624842,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,135,"QoS Data, SN=256, FN=0, Flags=.p.....TC",168.66666666666666,691.4666666666669,0.1396008110000082,0.1342548938333342,0.033178893677278866,6,6
82,90191,177.743462779,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,120,"QoS Data, SN=39, FN=0, Flags=.p.....TC",120.0,,2.8059093850000068,2.8059093850000068,,1,1
83,90274,178.291563599,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,175,"QoS Data, SN=260, FN=0, Flags=.p.....TC",165.0,105.26315789473684,0.5481008200000019,0.028852497900000173,0.0149451120610568,20,20
85,90787,183.440742864,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,167,"QoS Data, SN=262, FN=0, Flags=.p.....TC",157.1818181818182,100.36363636363642,5.120230126999985,0.47438550872727153,2.3745444304718384,11,11
87,91216,186.464983236,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,948,"QoS Data, SN=265, FN=0, Flags=.p.....TC",416.109243697479,177692.04728671134,2.9262299030000065,0.034322587462185083,0.07248688256750963,119,119
88,92037,188.578902288,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,120,"QoS Data, SN=40, FN=0, Flags=.p..R..TC",158.9787234042553,122.10823311748385,0.9557610469999815,0.05262976725531888,0.022690437585269167,47,47
