sample_no,avrg_len,var_len,avrg_IAT,var_IAT,count,upload_count
132,357.7037037037037,289056.40458323254,0.004638340629629567,0.0005718008537729233,459,441
133,250.80555555555554,121231.30346119913,0.003946718365079441,0.000407430270914437,504,493
134,337.58474576271186,152618.30214018954,0.008552823898305074,0.002845192673099757,236,236
135,315.75103391232426,201918.61212672244,0.001629729021505343,4.795965926826499e-05,1209,1192
136,243.61507936507937,80019.88755039053,0.007092169869047716,0.00035390483543536633,252,251
137,403.14814814814815,180303.71350186164,0.011863374021164049,0.00484908988697176,189,189
138,208.17741935483872,31336.565296566085,0.014489997145161275,0.008369529147952907,124,124
140,766.2666666666667,137691.92888888888,0.2734880045333322,0.3856783906075461,15,15
141,189.45454545454547,863.8842975206618,0.07264691472727236,0.017062328904372263,11,11
142,322.80833333333334,97923.25493055556,0.026401891841666726,0.02022051542879877,120,120
143,245.75468975468976,153705.7551186988,0.0030579596969697053,0.0023080370249743036,693,680
144,300.26021934197405,205297.8315879876,0.00200250554436693,6.272063440879515e-05,1003,982
145,254.569746909947,168275.84489993585,0.001179291510300178,2.3963654635771024e-05,1699,1671
146,219.40647773279352,79525.30846006343,0.0015689089165991542,4.178849169590081e-05,1235,1227
147,504.18897637795277,270861.72806745616,0.01436466562204725,0.0011016936977968873,127,126
148,249.0453781512605,122283.28701645364,0.003707142944537885,0.00045344657385407546,595,583
149,223.95387840670858,95283.47795665603,0.0021325126561844605,0.0008789919168614206,954,947
150,426.6210350584307,243621.22366437127,0.0016705369515859893,4.306266262590739e-05,1198,1194
151,532.5491803278688,303797.9852862134,0.0027311220669398676,8.858445919514657e-05,732,730
152,389.4264591439689,224112.84381353224,0.0015546772552529052,5.80788254809377e-05,1285,1280
153,610.9068577277379,430991.6279673004,0.002048595795291723,5.98373466597927e-05,977,960
154,399.1958456973294,287429.4571934243,0.00593799967655789,0.00028260230360571686,337,326
155,417.42057761732855,453308.8429700632,0.0036093614169674607,0.00023730822268247355,554,525
156,248.1238670694864,198630.02393187358,0.005566473033232738,0.000661744167705653,331,323
157,280.1609195402299,146341.82467961422,0.012389888758620493,0.0025978823772067243,174,172
158,233.76732161323682,107169.58081423261,0.0020689432037229024,0.00011766392906391245,967,961
159,344.94545454545454,180991.0061157025,0.009096496659090679,0.001864299949728189,220,218
160,157.875,8.859374999999995,0.12395526831249981,0.18561984269880236,16,16
161,248.66,59007.664399999994,0.03914880368000013,0.00788316620248794,50,50
162,214.8709677419355,67312.8543184183,0.03323488979032255,0.014913122247378986,62,62
163,301.85227272727275,84593.26226756201,0.02208331789772767,0.005091159001954027,88,88
164,163.0,36.00000000000003,0.07084066112499936,0.05003801379045509,24,24
165,163.9777777777778,3758.3772839506164,0.011367310166666459,0.0030143981278201535,90,90
166,203.10714285714286,18298.66709183673,0.03855712495238114,0.030868158489033078,84,84
167,147.0,0.0,0.11591587570588298,0.043577528501203694,17,17
168,305.0243902439024,53526.65794170134,0.04691042182926777,0.018381973067271705,41,41
169,309.50531914893617,97882.22869511097,0.010462155154255439,0.0010435852059590086,188,188
170,242.97297297297297,23160.78305332359,0.02705364267567547,0.007401928476388492,74,74
171,467.6842105263158,222145.16343490305,0.08778907015789628,0.010238352069457404,19,19
172,167.0,0.0,0.6371566020000046,0.0,1,1
